DZ60 CNC ALUMINUM/BRASS 60% PLATE,https://kbdfans.com/collections/plate/products/dz60-cnc-aluminum-plate,$19.00,"Plate-A（left shift is 2U）It's not compatible with DZ60RGB v2/ DZ60RGB-ANSI PCB
Plate-B（left shift is 2.25U） It's compatible with DZ60RGB v2/ DZ60RGB-ANSI PCB"
60% CNC'D ALUMINUM PLATE,https://kbdfans.com/collections/plate/products/cnc-60-aluminum-plate,$21.90,SUPPORTED LAYOUTS
60% Brass ANSI Plate,https://kbdfans.com/collections/plate/products/brass-60-plate,$39.90,Supported layouts
65% Aluminum/Brass/Polycarbonate/ Carbon Fiber Plate,https://kbdfans.com/collections/plate/products/65-cnc-aluminum-plate,$18.00,"Specs
Material: CNC Aluminum; Brass; Polycarbonate/ Carbon Fiber
1.5MM thickness
65% layout
Compatible with DZ65RGB V3 Hot-swap PCB, KBD67 V2 Solder PCB, Tofu65 case, etc.
Layout："
60% PC material plate,https://kbdfans.com/collections/plate/products/60-pc-material-plate,$19.00,"Specs
PC material
The thickness of 1.5 mm
Compatible with gh60, dz60, etc
Only 2.25U Left Shift (Plate B) would fit with DZ60RGB V2 and DZ60RGB ANSI PCB."
KBD75 v1/v2 Brass Plate,https://kbdfans.com/collections/plate/products/kbd75-brass-plate,$42.00,"Specs:
Brass material
Compatible with KBD75 rev 2.0 Solder PCB
Compatible with KBD75 V1 and KBD75 V2 case, NOT compatible with Tofu84, KBD75 V3 case"
DZ60RGB v2 Hot-swap Carbon Fiber Plate,https://kbdfans.com/collections/plate/products/carbon-fiber-dz60rgb-hot-swap-plate,$19.00,"Specs
Carbon fiber material
DZ60RGB V2 layout (with arrow keys)
Contains screws"
KBD75 Alu PLATE,https://kbdfans.com/collections/plate/products/kbdfans75-aluminum-plate,$20.00,"Specs
CNC manufacturing
Aluminum plate
75% layout
Compatible with KBD75 V1 and KBD75 V2 keyboard, NOT compatible with Tofu84 case"
Carbon Fiber 60% plate,https://kbdfans.com/collections/plate/products/carbon-fiber-60-plate-1,$19.00,"Specs
60%
Carbon Fiber
CNC production
1.5mm （The tolerance of 0.1MM）
Compatible with DZ60 RGB-ANSI PCB
Supported layouts"
D65 Plate(Hot-swap version),https://kbdfans.com/collections/plate/products/d65-plate,$25.00,"D65 Plate Options（ include extra gaskets)
Brass (hot-swap version)
Polycarbonate (hot-swap version)
FR4 (hot-swap version)
It is compatible with D65 Mechanical Keyboard only."
KBD8X MKII Polycarbonate Plate,https://kbdfans.com/collections/plate/products/kbd8x-mkii-polycarbonate-plate,$22.00,"Specs
Polycarbonate Material Plate
Only compatible with KBD8X MKII"
KBD67 Lite ANSI layout Polycarbonate Plate,https://kbdfans.com/collections/plate/products/kbd67-lite-polycarbonate-plate,$19.00,"Specs
Injection molding polycarbonate plate
Compatible with KBD67 lite R1/R2/R3, Blade 65, KBD67 V3
Not Compatible with KBD67 lite R3 ISO version PCB
Plate drawing Download"
KBD75 V3.1 Aluminum/ Brass/Polycarbonate Plate,https://kbdfans.com/collections/plate/products/kbd75-v3-1-aluminum-brass-plate,$22.00,"Specs
Aluminum/ Brass/Polycarbonate material
Only compatible with KBD75 v3/ v3.1
Layout"
KBD67 MKII Brass Plate,https://kbdfans.com/collections/plate/products/kbd67mkii-brass-plate,$39.90,"Note: this plate is only compatible with KBD67MKII case, thank you
Specs：
Brass
High quality CNC manufacturing
Compatible kbd67mkii case
Design by AI03
PCB :
https://kbdfans.com/products/kbd67mkii-pcb"
KBD67 Lite Brass Plate,https://kbdfans.com/collections/plate/products/kbd67-lite-brass-plate,$39.90,"Specs
Brass material
65% Layout, compatible with KBD67 Lite R1/R2/R3, Blade65 case
Not Compatible with KBD67 lite R3 ISO version PCB"
D60 FR4/ PC Plate/Brass,https://kbdfans.com/collections/plate/products/d60-fr4-plate,$25.00,
KBD75 Aluminum Plate B,https://kbdfans.com/collections/plate/products/kbd75-rev2-aluminum-plate,$20.00,"Specs
This is the plate support for the new KBD75 REV2.0 PCB.
Compatible with KBD75 V1 and KBD75 V2 Case, NOT compatible with Tofu84 case
Because we did not make the new case, if we want to use the PCB of rev2, we need to cut a screw hole in the case.
Support Layout："
[In stock] Boop Plate,https://kbdfans.com/collections/plate/products/boop-plate,$21.00,"Boop Plate
Material: Aluminum E-White, Brass, FR4, Polycarbonate
Compatible with Boop soldered version PCB and Hot-swap version PCB"
TOFU84 Aluminum Plate,https://kbdfans.com/collections/plate/products/tofu84-alu-plate,$20.00,"Specs
Aluminum plate
75% layout
Compatible with Tofu84 keyboard
The Tofu84 Plate is compatible with KBD75 v2 case, KBD75 V2 Plate isn't compatible with Tofu84 case"
[Pre-order] Phase One 65 Plate,https://kbdfans.com/collections/plate/products/pre-order-phase-one-keyboard-plate,$19.00,"Specs
The solder version plate would fit both the WK and WKL layout
The hot-swap WKL plate would only fit the hot-swap WKL PCB
The hot-swap WK plate would only fit the hot-swap WK PCB
Notes
If you choose a half plate, the Hot-swap PCB will not fit with the 3-pin switches perfectly, as some 3-pin switches might be easily pulled out when you are pulling out the keycaps."
KBDPAD MKII Plate,https://kbdfans.com/collections/plate/products/kbdpad-mkii-brass-plate,$9.90,"KBDPAD MKII Brass Plate
Only Compatible with KBDPAD MKII
Brass/ Aluminum/ Polycarbonate Plate"
KBD8X MKII Brass Plate,https://kbdfans.com/collections/plate/products/kbd8x-mkii-brass-plate,$55.00,"NOTE: THIS PLATE IS ONLY COMPATIBLE WITH KBD8X MKII CASE
Specs：
Brass material
High quality CNC manufacturing
Compatible kbd8X MKII case
Design by AI03"
D84 v2 plate（including gasket),https://kbdfans.com/collections/plate/products/d84-v2-plate-including-gasket,$25.00,"*Reminds: Due to the optimization of the internal structure of the case, the Plate, Case of D84 version 1 and version 2 are incompatible with each other."
MAJA Brass Plate,https://kbdfans.com/collections/plate/products/maja-brass-plate,$45.00,
KBD67 Lite ISO Layout Polycarbonate Plate,https://kbdfans.com/collections/plate/products/kbd67-lite-iso-layout-polycarbonate-plate,$19.00,"Specs
Injection molding polycarbonate plate
Only Compatible with KBD67 lite R3 ISO version PCB
Only compatible with KBD67 lite, Blade65, KBD67v3"
Bella Brass Plate,https://kbdfans.com/collections/plate/products/bella-brass-plate,$42.00,"Three versions of Bella Brass Plate
1. Soldered version ( can only fit Bella-solder version PCB)
2. Hot-swap version( compatible with Bella hot-swap ANSI PCB and hot-swap ISO PCB)"
D45 Plate,https://kbdfans.com/collections/plate/products/pre-order-d45-plate,$24.00,
D84 v1 Alu plate（including gasket),https://kbdfans.com/collections/plate/products/d84-alu-plate-and-gasket,$25.00,"Include
D84 v1 plate
Gasket
*Reminds: Due to the optimization of the internal structure of the case, the Plate, Case of D84 version 1 and version 2 are incompatible with each other."
stainless steel plate for xd75re 60% custom keyboard Mechanical Keyboard Plate support xd75re,https://kprepublic.com/collections/plate/products/stainless-steel-plate-for-xd75re-60-custom-keyboard-mechanical-keyboard-plate-support-xd75re,$22.90,
20% cospad XD24 Stainless steel Plate Mechanical Keyboard Plate support PAD GHPAD Numpad,https://kprepublic.com/collections/plate/products/20-cospad-xd24-stainless-steel-plate-mechanical-keyboard-plate-support-pad-ghpad-numpad,$13.20,
60% Aluminum Mechanical Keyboard carbon fiber plate support xd60 xd64 3.0 v3.0 gh60 support split spacebar 3u spacebar,https://kprepublic.com/collections/plate/products/60-aluminum-mechanical-keyboard-carbon-fiber-plate-support-xd60-xd64-3-0-v3-0-gh60-support-split-spacebar-3u-spacebar,$16.90,
60% Aluminum Mechanical Keyboard Plate support xd60 xd64 gh60 silver color,https://kprepublic.com/collections/plate/products/60-aluminum-mechanical-keyboard-plate-support-xd60-xd64-gh60-silver-color,$21.60,
GK64X 60% Aluminum glass fiber Plate with plate-mounted stabilizerfor,https://kprepublic.com/collections/plate/products/60-aluminum-glass-fiber-plate-with-plate-mounted-stabilizerfor-gk64-gk64s-xd64-xd60,$14.30,"Glass Fiber Plate only:)
Mount P with Stab=Plate+Plate Mount Stabilizer(2x *4+6.25x*1）"
carbon fiber plate for xiudi xd68 65% custom keyboard Mechanical Keyboard Plate support xd68,https://kprepublic.com/collections/plate/products/carbon-fiber-plate-for-xiudi-xd68-65-custom-keyboard-mechanical-keyboard-plate-support-xd68,$17.50,"Compatible with XD68 pcb
Material: carbon fiber
Thickness: 1.5 mm"
60% Aluminum Mechanical Keyboard Plate support Gh60 poker1/2/3 silver red gold purple black color,https://kprepublic.com/collections/plate/products/60-aluminum-mechanical-keyboard-plate-support-gh60-poker1-2-3-silver-red-gold-purple-black-color,$23.90,
Brass Plate oxidation resistant coating brushed tech for xd64 xd75 xd84 bm43 xd68 iso,https://kprepublic.com/collections/plate/products/brass-plate-oxidation-resistant-coating-brushed-tech-for-xd64-xd75-xd84-bm43-xd68-bm60-iso,$36.20,"Material: Brass
Thickness: 1.5 mm
Surface Treatment Process: brushed metal tech
Coating: oxidation resistant coating"
carbon fiber plate for JJ40 BM40 40% custom keyboard Mechanical Keyboard Plate support mx edition,https://kprepublic.com/collections/plate/products/carbon-fiber-plate-for-jj40-bm40-40-custom-keyboard-mechanical-keyboard-plate-support-mx-edition,,"Compatible with BM40 pcb
Material: carbon fiber
Thickness: 1.5 mm
Edition: MX Stem Edition"
XD84 eepw84 Aluminum Mechanical Keyboard Plate support xd84 eepw84 75% pcb,https://kprepublic.com/collections/plate/products/xd84-eepw84-aluminum-mechanical-keyboard-plate-support-xd84-eepw84-75-pcb,$23.80,
stainless steel MX plate for bm43a bm43 40% custom keyboard Mechanical Keyboard Plate support bm43a,https://kprepublic.com/collections/plate/products/stainless-steel-plate-for-bm43a-bm43-40-custom-keyboard-mechanical-keyboard-plate-support-bm43a,$11.50,
XD84 eepw84 stainless steel Mechanical Keyboard Plate support stainless steel plate for eepw84 xd84 pcb 75%,https://kprepublic.com/collections/plate/products/d84-eepw84-stainless-steel-mechanical-keyboard-plate-support-stainless-steel-plate-for-eepw84-xd84-pcb-75,$23.80,
carbon fiber plate for daisy 40% support daisy 40 alps or mx edition,https://kprepublic.com/collections/plate/products/carbon-fiber-plate-for-daisy-40-support-daisy-40-alps-or-mx-edition,$13.50,"Compatible with Daisy pcb
Material: carbon fiber
Thickness: 1.5 mm
Edition: MX or ALPS Stem Edition"
Alps 60% stainless steel plate mechanical keyboard support xd60 xd64 2.25u 2u left shift,https://kprepublic.com/collections/plate/products/alps-60-stainless-steel-plate-mechanical-keyboard-board-support-xd60-xd64-2-25u-2u-left-shift-support-layout-types,$15.50,
"60% PC Plastic Mechanical Keyboard Plate 1,5mm thickness support xd60 xd64 gh60 BM60 ISO with arrow key Transparent Clear color",https://kprepublic.com/collections/plate/products/60-pc-plastic-mechanical-keyboard-plate-1-5mm-thickness-support-xd60-xd64-gh60-bm60-iso-with-arrow-key-transparent-clear-color,$15.60,"Strong and exclusive PC plastic
Compatible with most standard 60% PCBs
Support Standard layout and ISO layout
Poker and 60 EC layout added"
Silicone Sound Dampening Noise Absorption Soundproofing between Plate and Pcb Similar With Foam Effect for BM60 Poker ISO EC,https://kprepublic.com/collections/plate/products/silicone-sound-dampening-noise-absorption-soundproofing-between-plate-and-pcb-similar-with-foam-effect-for-bm60-poker-iso-ec,$21.80,"silicone
around 3.5mm thickness
high precision die cut
Grey
Compatible with BM60 series"
alps stainless steel plate for xd75am xd75 60% custom keyboard Mechanical Keyboard Plate support xd75am alps matias switch stem,https://kprepublic.com/collections/plate/products/alps-stainless-steel-plate-for-xd75am-xd75-60-custom-keyboard-mechanical-keyboard-plate-support-xd75am-alps-matias-switch-stem,$23.60,
bm16s plate Custom Mechanical Keyboard plate only for bm16s stainless steel plate 16%,https://kprepublic.com/collections/plate/products/bm16s-plate-custom-mechanical-keyboard-plate-only-for-bm16sstainless-steel-plate-16,$4.40,
stainless steel plate for BM68 65% custom keyboard Mechanical Keyboard Plate support BM68 BM68 V2,https://kprepublic.com/collections/plate/products/stainless-steel-plate-for-bm68-65-custom-keyboard-mechanical-keyboard-plate-support-bm68-bm68-v2,$16.50,"Compatible with BM68 pcb
Material: Stainless Steel
Thickness: 1.5 mm"
Carbon Fiber Plate 1.5mm thickness support support split spacebar 3u spacebar xd75 xd84,https://kprepublic.com/collections/plate/products/carbon-fiber-plate-1-5mm-thickness-support-support-split-spacebar-3u-spacebar-xd75-xd84,$16.90,"Thick high-quality Carbon fibre
around 1.5mm thickness
Laser cutting"
carbon fiber plate for BM43 Bm43a BM43 RGB custom keyboard Mechanical Keyboard Plate support mx stem edition,https://kprepublic.com/collections/plate/products/carbon-fiber-plate-for-bm43-bm43a-bm43-rgb-custom-keyboard-mechanical-keyboard-plate-support-mx-stem-edition,$13.50,"Thickness: around 1.5mm
Carbon fiber material
Laser cutting
support MX switch and clones"
